Identifier	Name	colname	Synonyms	Action	Clinical.Stage	Putative.Target	Targeted.process.pathway	PubChem_CID	PubChem_SMILES	filename	PubChem	remark
211	TL-2-105	TL-2-105		targeted	experimental	CRAF	ERK MAPK signaling	NA	NA	TL-2-105	NA	
221	TAK-715	TAK-715	KIN001-201	targeted	in clinical development	p38a	JNK and p38 signaling	9952773	CCC1=NC(=C(S1)C2=CC(=NC=C2)NC(=O)C3=CC=CC=C3)C4=CC=CC(=C4)C	TAK-715	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9952773"" target= ""_blank"">PubChem</a>"	
152	CP466722	CP466722		targeted	experimental	ATM	Genome integrity	44551660	COC1=C(C=C2C(=C1)C(=NC=N2)N3C(=NC(=N3)C4=CC=CC=N4)N)OC	CP466722	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/44551660"" target= ""_blank"">PubChem</a>"	
203	BMS-345541	BMS-345541		targeted	experimental	IKBKB	other	9813758	CC1=CC2=C(C=C1)N=C(C3=NC=C(N23)C)NCCN	BMS-345541	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9813758"" target= ""_blank"">PubChem</a>"	
225	Genentech Cpd 10	Genentech_Cpd_10		targeted	experimental	"AURKA, AURKB"	mitosis	92131181	[2H]C([2H])(CC1CCN(CC1)C2=NC3=NC4=CC=CC=C4N3C=C2)[18F]  	Genentech_Cpd_10	https://pubchem.ncbi.nlm.nih.gov/compound/92131181	Updated
230	GSK429286A	GSK429286A		targeted	experimental	ROCK2	cytoskeleton	11373846	CC1=C(C(CC(=O)N1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NC3=C(C=C4C(=C3)C=NN4)F	GSK429286A	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11373846"" target= ""_blank"">PubChem</a>"	
206	Ruxolitinib	Ruxolitinib	"Jakafi, INCB-18424"	targeted	clinically approved	"JAK1, JAK2, TYK2"	other	25126798	C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3	Ruxolitinib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/25126798"" target= ""_blank"">PubChem</a>"	
208	SB-715992	SB-715992	SB-715992	targeted	in clinical development	KIF11	mitosis	6450816	CC1=CC=C(C=C1)C(=O)N(CCCN)[C@@H](C2=NC3=C(C=CC(=C3)Cl)C(=O)N2CC4=CC=CC=C4)C(C)C.CS(=O)(=O)O	SB-715992	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/6450816"" target= ""_blank"">PubChem</a>"	
223	ZSTK474	ZSTK474	KIN001-167	targeted	in clinical development	PI3K	PI3K signaling	11647372	C1COCCN1C2=NC(=NC(=N2)N3C4=CC=CC=C4N=C3C(F)F)N5CCOCC5	ZSTK474	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11647372"" target= ""_blank"">PubChem</a>"	
228	KIN001-102	KIN001-102		targeted	experimental	AKT1	PI3K signaling	157400995	[N-]=[N+]=[N-].[K+].[I-]	KIN001-102	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/157400995"" target= ""_blank"">PubChem</a>"	Updated
